region,year,bds_value,gdp_value,data_source,scenario,base_rate,exchange_rate,cpi,gdp_growth,koribor,gov_bond_3y,corp_bond_3y,bds_score,economic_stress,financial_stability,growth_potential
부산광역시,2023,0.8691193388256473,103284.365,KOSIS_GDP,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,8.691193388256472,72.08333333333333,81.66666666666667,64.16666666666667
부산광역시,2024,0.6482866612481027,106884.582,KOSIS_GDP,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,6.482866612481027,72.08333333333333,81.66666666666667,64.16666666666667
부산광역시,2025,0.4395237176817614,26296.408,KOSIS_GDP,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,4.395237176817614,72.08333333333333,81.66666666666667,64.16666666666667
대구광역시,1997,5.66059588892245,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,56.6059588892245,72.08333333333333,81.66666666666667,64.16666666666667
대구광역시,1998,5.7536356534373185,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,57.53635653437318,72.08333333333333,81.66666666666667,64.16666666666667
대구광역시,1999,8.233979613722152,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,82.33979613722153,72.08333333333333,81.66666666666667,64.16666666666667
대구광역시,2000,6.470043382480122,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,64.70043382480122,72.08333333333333,81.66666666666667,64.16666666666667
대구광역시,2001,3.886590049155,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,38.86590049155,72.08333333333333,81.66666666666667,64.16666666666667
대구광역시,2002,4.291633369734226,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,42.91633369734227,72.08333333333333,81.66666666666667,64.16666666666667
대구광역시,2003,6.089129390149407,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,60.891293901494066,72.08333333333333,81.66666666666667,64.16666666666667
대구광역시,2004,5.153694351827174,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,51.53694351827174,72.08333333333333,81.66666666666667,64.16666666666667
대구광역시,2005,5.317554688734847,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,53.175546887348474,72.08333333333333,81.66666666666667,64.16666666666667
대구광역시,2006,4.399249135462798,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,43.99249135462797,72.08333333333333,81.66666666666667,64.16666666666667
대구광역시,2007,6.3528062164583465,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,63.52806216458347,72.08333333333333,81.66666666666667,64.16666666666667
대구광역시,2008,4.381686252254073,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,43.81686252254073,72.08333333333333,81.66666666666667,64.16666666666667
대구광역시,2009,3.9194120364147222,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,39.194120364147224,72.08333333333333,81.66666666666667,64.16666666666667
대구광역시,2010,4.153707003478697,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,41.53707003478697,72.08333333333333,81.66666666666667,64.16666666666667
대구광역시,2011,3.1860601734946066,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,31.860601734946066,72.08333333333333,81.66666666666667,64.16666666666667
대구광역시,2012,5.362666792792993,,NAVIS,high_inflation,4.0,1450.0,125.0,0.3,4.0,4.0,4.5,53.62666792792993,72.08333333333333,81.66666666666667,64.16666666666667
