id,stat_code,item_code,item_name,unit,cycle_type,raw_item_name,created_at
287,101Y008,,수출입은행,,A,수출입은행,2025-08-25 01:14:49
288,101Y008,,수출입은행,,M,수출입은행,2025-08-25 01:14:49
289,101Y008,,수출입은행,,Q,수출입은행,2025-08-25 01:14:49
290,101Y007,,M2(말잔),,A,M2(말잔),2025-08-25 01:14:50
291,101Y007,,M2(말잔),,M,M2(말잔),2025-08-25 01:14:50
292,101Y007,,M2(말잔),,Q,M2(말잔),2025-08-25 01:14:50
293,101Y007,,중앙은행,,A,중앙은행,2025-08-25 01:14:50
294,101Y007,,중앙은행,,M,중앙은행,2025-08-25 01:14:50
295,101Y007,,중앙은행,,Q,중앙은행,2025-08-25 01:14:50
296,101Y007,,기타예금취급기관,,A,기타예금취급기관,2025-08-25 01:14:50
297,101Y007,,기타예금취급기관,,M,기타예금취급기관,2025-08-25 01:14:50
298,101Y007,,기타예금취급기관,,Q,기타예금취급기관,2025-08-25 01:14:50
299,101Y007,,예금은행,,A,예금은행,2025-08-25 01:14:50
300,101Y007,,예금은행,,M,예금은행,2025-08-25 01:14:50
301,101Y007,,예금은행,,Q,예금은행,2025-08-25 01:14:50
302,101Y007,,종합금융,,A,종합금융,2025-08-25 01:14:50
303,101Y007,,종합금융,,M,종합금융,2025-08-25 01:14:50
304,101Y007,,종합금융,,Q,종합금융,2025-08-25 01:14:50
305,101Y007,,자산운용회사,,A,자산운용회사,2025-08-25 01:14:50
306,101Y007,,자산운용회사,,M,자산운용회사,2025-08-25 01:14:50
307,101Y007,,자산운용회사,,Q,자산운용회사,2025-08-25 01:14:50
308,101Y007,,신탁회사,,A,신탁회사,2025-08-25 01:14:50
309,101Y007,,신탁회사,,M,신탁회사,2025-08-25 01:14:50
310,101Y007,,신탁회사,,Q,신탁회사,2025-08-25 01:14:50
311,101Y007,,상호저축은행,,A,상호저축은행,2025-08-25 01:14:50
312,101Y007,,상호저축은행,,M,상호저축은행,2025-08-25 01:14:50
313,101Y007,,상호저축은행,,Q,상호저축은행,2025-08-25 01:14:50
314,101Y007,,신용협동조합,,A,신용협동조합,2025-08-25 01:14:50
315,101Y007,,신용협동조합,,M,신용협동조합,2025-08-25 01:14:50
316,101Y007,,신용협동조합,,Q,신용협동조합,2025-08-25 01:14:50
317,101Y007,,상호금융,,A,상호금융,2025-08-25 01:14:50
318,101Y007,,상호금융,,M,상호금융,2025-08-25 01:14:50
319,101Y007,,상호금융,,Q,상호금융,2025-08-25 01:14:50
320,101Y007,,새마을금고,,A,새마을금고,2025-08-25 01:14:50
321,101Y007,,새마을금고,,M,새마을금고,2025-08-25 01:14:50
322,101Y007,,새마을금고,,Q,새마을금고,2025-08-25 01:14:50
323,101Y007,,우체국예금,,A,우체국예금,2025-08-25 01:14:50
324,101Y007,,우체국예금,,M,우체국예금,2025-08-25 01:14:50
325,101Y007,,우체국예금,,Q,우체국예금,2025-08-25 01:14:50
326,101Y007,,수출입은행,,A,수출입은행,2025-08-25 01:14:50
327,101Y007,,수출입은행,,M,수출입은행,2025-08-25 01:14:50
328,101Y007,,수출입은행,,Q,수출입은행,2025-08-25 01:14:50
329,111Y003,,"Lf(금융기관유동성) : 상품별(평잔, 계절조정계열)",,A,"Lf(금융기관유동성) : 상품별(평잔, 계절조정계열)",2025-08-25 01:14:51
330,111Y003,,"Lf(금융기관유동성) : 상품별(평잔, 계절조정계열)",,M,"Lf(금융기관유동성) : 상품별(평잔, 계절조정계열)",2025-08-25 01:14:51
